Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
8067,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Eastern Orphean Warbler,Sylvia crassirostris,"Cretzschmar,1827",R,LC,NA,NA,"Sylvia hortensis and S. crassirostris (del Hoyo and Collar 2016) were previously lumped as S. hortensis following Cramp et al. (1977-1994); Dowsett & Forbes-Watson (1993); Sibley & Monroe (1990, 1993).",22734793
8068,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Yemen Warbler,Sylvia buryi,"(Ogilvie-Grant, 1913)",R,NT,Parisoma buryi,"Arabian Tit-Warbler, Parisome d'Arabie",NA,22716864
8069,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Brown Warbler,Sylvia lugens,"Rüppell, 1840",R,LC,NA,"Parisome brun, Brown Parisoma",NA,22716878
8070,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Lesser Whitethroat,Sylvia curruca,"(Linnaeus, 1758)",R,LC,Sylvia althaea; Sylvia minula,NA,"Sylvia curruca (AOU [1998 & supplements]; Dowsett & Forbes-Watson [1993]; Sibley & Monroe [1990, 1993]), S. minula and S. althaea (Sibley & Monroe [1990, 1993]) have been lumped into S. curruca following del Hoyo and Collar (2016).",22734992
8071,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Menetries's Warbler,Sylvia mystacea,"Ménétries, 1832",R,LC,NA,"Fauvette de Ménétries, Ménétries's Warbler",NA,22716971
8072,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Cyprus Warbler,Sylvia melanothorax,"Tristram, 1872",R,LC,NA,Fauvette du Chypre,NA,22716963
8073,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Sardinian Warbler,Sylvia melanocephala,"(Gmelin, 1789)",R,LC,NA,Fauvette mélanocéphale,NA,22716959
8074,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Subalpine Warbler,Sylvia cantillans,"(Pallas, 1764)",R,LC,NA,NA,"Sylvia cantillans and S. subalpina (del Hoyo and Collar 2016) were previously lumped as S. cantillans following AERC TAC (2003), Cramp et al. (1977-1994), Dowsett & Forbes-Watson (1993) and Sibley & Monroe (1990, 1993).",103874024
8075,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Moltoni's Warbler,Sylvia subalpina,"Orlando, 1937",R,LC,NA,NA,"Sylvia cantillans and S. subalpina (del Hoyo and Collar 2016) were previously lumped as S. cantillans following AERC TAC (2003), Cramp et al. (1977-1994), Dowsett & Forbes-Watson (1993) and Sibley & Monroe (1990, 1993).",22735596
8076,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Rüppell's Warbler,Sylvia ruppeli,"Temminck, 1823",R,LC,NA,"Fauvette masquée, Rueppell's Warbler",Sylvia ruppeli (del Hoyo and Collar 2016) was previously listed as S. rueppelli.,22716954
8077,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Common Whitethroat,Sylvia communis,"Latham, 1787",R,LC,NA,"Whitethroat, Fauvette grisette, Greater Whitethroat",NA,22716910
8078,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Spectacled Warbler,Sylvia conspicillata,"Temminck, 1820",R,LC,NA,Fauvette à lunettes,NA,22716976
8079,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Marmora's Warbler,Sylvia sarda,"Temminck, 1820",R,LC,NA,NA,"Sylvia sarda and S. balearica (del Hoyo and Collar 2016) were previously lumped as S. sarda following Cramp et al. (1977-1994) and Sibley & Monroe (1990, 1993).",22735017
8080,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Balearic Warbler,Sylvia balearica,"von Jordans, 1913",R,LC,NA,NA,"Sylvia sarda and S. balearica (del Hoyo and Collar 2016) were previously lumped as S. sarda following Cramp et al. (1977-1994) and Sibley & Monroe (1990, 1993).",22734798
8081,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Dartford Warbler,Sylvia undata,"(Boddaert, 1783)",R,NT,NA,NA,NA,22716984
8082,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Tristram's Warbler,Sylvia deserticola,"Tristram, 1859",R,LC,NA,Fauvette du désert,NA,22716980
8083,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Abyssinian Catbird,Parophasma galinieri,"(Guérin-Méneville, 1843)",R,LC,NA,Timalie d'Abyssinie,NA,22716682
8084,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Fire-tailed Myzornis,Myzornis pyrrhoura,"Blyth, 1843",R,LC,NA,NA,NA,22716760
8085,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Rufous-tailed Babbler,Moupinia poecilotis,"(Verreaux, 1870)",R,LC,Moupina poecilotis; Chrysomma poecilotis,NA,Moupinia poecilotis (del Hoyo and Collar 2016) was previously listed as Chrysomma poecilotis.,22716332
8086,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Golden-breasted Fulvetta,Lioparus chrysotis,"(Blyth, 1845)",R,LC,Alcippe chrysotis,NA,Lioparus chrysotis (del Hoyo and Collar 2016) was previously listed as Alcippe chrysotis.,22716585
8087,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Yellow-eyed Babbler,Chrysomma sinense,"(Gmelin, 1789)",R,LC,NA,NA,NA,22716323
8088,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Jerdon's Babbler,Chrysomma altirostre,"(Jerdon, 1862)",R,VU,Moupinia altirostris,NA,NA,22716326
8089,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Tarim Hill-warbler,Rhopophilus albosuperciliaris,"(Hume, 1871)",R,LC,NA,NA,"Rhopophilus pekinensis and R. albosuperciliaris (del Hoyo and Collar 2016) were previously lumped as R. pekinensis following Sibley & Monroe (1990, 1993).",103879474
8090,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Beijing Hill-warbler,Rhopophilus pekinensis,"(Swinhoe, 1868)",R,LC,NA,NA,"Rhopophilus pekinensis and R. albosuperciliaris (del Hoyo and Collar 2016) were previously lumped as R. pekinensis following Sibley & Monroe (1990, 1993).",103879454
8091,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,White-browed Fulvetta,Fulvetta vinipectus,"(Hodgson, 1837)",R,LC,Alcippe vinipectus,NA,Fulvetta vinipectus (del Hoyo and Collar 2016) was previously listed as Alcippe vinipectus.,22716601
8092,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Brown-throated Fulvetta,Fulvetta ludlowi,"Kinnear, 1935",R,LC,Alcippe ludlowi,Ludlow's Fulvetta,Fulvetta ludlowi (del Hoyo and Collar 2016) was previously listed as Alcippe ludlowi.,22716617
8093,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Manipur Fulvetta,Fulvetta manipurensis,"(Ogilvie-Grant, 1906)",R,LC,Alcippe manipurensis,Streak-throated Fulvetta,Fulvetta manipurensis (del Hoyo and Collar 2016) was previously listed as Alcippe manipurensis.,22734598
8094,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Grey-hooded Fulvetta,Fulvetta cinereiceps,"(Verreaux, 1870)",R,LC,Alcippe cinereiceps,NA,Fulvetta cinereiceps (del Hoyo and Collar 2016) was previously listed as Alcippe cinereiceps.,22735182
8095,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Taiwan Fulvetta,Fulvetta formosana,"(Ogilvie-Grant, 1906)",R,LC,Alcippe formosana,NA,Fulvetta formosana (del Hoyo and Collar 2016) was previously listed as Alcippe formosana.,22734603
8096,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Chinese Fulvetta,Fulvetta striaticollis,"(Verreaux, 1870)",R,LC,Alcippe striaticollis,NA,Fulvetta striaticollis (del Hoyo and Collar 2016) was previously listed as Alcippe striaticollis.,22716604
8097,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Spectacled Fulvetta,Fulvetta ruficapilla,"(Verreaux, 1870)",R,LC,Alcippe ruficapilla,NA,Fulvetta ruficapilla (del Hoyo and Collar 2016) was previously listed as Alcippe ruficapilla.,22735568
8098,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Indochinese Fulvetta,Fulvetta danisi,"(Delacour & Greenway, 1941)",R,LC,Alcippe danisi,NA,Fulvetta danisi (del Hoyo and Collar 2016) was previously listed as Alcippe danisi.,22734593
8099,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Wrentit,Chamaea fasciata,"(Gambel, 1845)",R,LC,NA,NA,NA,22716861
8100,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Black-breasted Parrotbill,Paradoxornis flavirostris,"Gould, 1836",R,VU,NA,NA,NA,22716795
8101,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Spot-breasted Parrotbill,Paradoxornis guttaticollis,"David, 1871",R,LC,NA,NA,NA,22716798
8102,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Reed Parrotbill,Paradoxornis heudei,"David, 1872",R,NT,NA,NA,NA,22716844
8103,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,White-breasted Parrotbill,Psittiparus ruficeps,"Blyth, 1842",R,LC,NA,NA,"Psittiparus ruficeps and P. bakeri (del Hoyo and Collar 2016) were previously lumped as Paradoxornis ruficeps following Sibley & Monroe (1990, 1993).",103880882
8104,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Rufous-headed Parrotbill,Psittiparus bakeri,"(Hartert, 1900)",R,LC,Paradoxornis bakeri,NA,"Psittiparus ruficeps and P. bakeri (del Hoyo and Collar 2016) were previously lumped as Paradoxornis ruficeps following Sibley & Monroe (1990, 1993).",22735612
8105,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Grey-headed Parrotbill,Psittiparus gularis,"(Gray, 1845)",R,LC,Paradoxornis gularis,NA,Psittiparus gularis (del Hoyo and Collar 2016) was previously listed as Paradoxornis gularis.,22735202
8106,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Black-headed Parrotbill,Psittiparus margaritae,"Delacour, 1927",R,VU,Paradoxornis margaritae,NA,Psittiparus margaritae (del Hoyo and Collar 2016) was previously listed as Paradoxornis margaritae.,22734623
8107,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Great Parrotbill,Conostoma aemodium,"Hodgson, 1842",R,LC,NA,NA,Conostoma aemodium (del Hoyo and Collar 2016) was previously listed as Conostoma oemodium.,22716781
8108,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Three-toed Parrotbill,Cholornis paradoxus,"Verreaux, 1870",R,LC,Paradoxornis paradoxus,NA,Cholornis paradoxus (del Hoyo and Collar 2016) was previously listed as Paradoxornis paradoxus.,22716784
8109,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Brown Parrotbill,Cholornis unicolor,"(Hodgson, 1843)",R,LC,Paradoxornis unicolor,NA,Cholornis unicolor (del Hoyo and Collar 2016) was previously listed as Paradoxornis unicolor.,22716787
8110,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Short-tailed Parrotbill,Neosuthora davidiana,"(Slater, 1897)",R,LC,Paradoxornis davidianus,NA,Neosuthora davidiana (del Hoyo and Collar 2016) was previously listed as Paradoxornis davidianus.,22716832
8111,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Fulvous Parrotbill,Suthora fulvifrons,"(Hodgson, 1845)",R,LC,Paradoxornis fulvifrons,NA,Suthora fulvifrons (del Hoyo and Collar 2016) was previously listed as Paradoxornis fulvifrons.,22716823
8112,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Black-throated Parrotbill,Suthora nipalensis,"(Hodgson, 1837)",R,LC,Paradoxornis nipalensis,NA,Suthora nipalensis (del Hoyo and Collar 2016) was previously listed as Paradoxornis nipalensis.,22716826
8113,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Golden Parrotbill,Suthora verreauxi,"Sharpe, 1883",R,LC,Paradoxornis verreauxi,NA,Suthora verreauxi (del Hoyo and Collar 2016) was previously listed as Paradoxornis verreauxi.,22716829
8114,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Pale-billed Parrotbill,Chleuasicus atrosuperciliaris,"Godwin-Austen, 1877",R,LC,Paradoxornis atrosuperciliaris,"Black-browed Parrotbill, Lesser Rufous-headed Parrotbill",Chleuasicus atrosuperciliaris (del Hoyo and Collar 2016) was previously listed as Paradoxornis atrosuperciliaris.,22716835
8115,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Spectacled Parrotbill,Sinosuthora conspicillata,"(David, 1871)",R,LC,Paradoxornis conspicillatus,NA,Sinosuthora conspicillata (del Hoyo and Collar 2016) was previously listed as Paradoxornis conspicillatus.,22716801
8116,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Vinous-throated Parrotbill,Sinosuthora webbiana,"(Gould, 1852)",R,LC,Paradoxornis webbianus,NA,Sinosuthora webbiana  (del Hoyo and Collar 2016) was previously listed as Paradoxornis webbianus.,22716804
8117,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Brown-winged Parrotbill,Sinosuthora brunnea,"(Anderson, 1871)",R,LC,NA,NA,"Sinosuthora brunnea and S. ricketti (del Hoyo and Collar 2016) were previously lumped as Paradoxornis brunneus following Sibley & Monroe (1990, 1993).",103886982
8118,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Yunnan Parrotbill,Sinosuthora ricketti,"(Rothschild, 1922)",R,LC,NA,NA,"Sinosuthora brunnea and S. ricketti (del Hoyo and Collar 2016) were previously lumped as Paradoxornis brunneus following Sibley & Monroe (1990, 1993).",103887001
8119,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Ashy-throated Parrotbill,Sinosuthora alphonsiana,"(Verreaux, 1870)",R,LC,Paradoxornis alphonsianus,NA,Sinosuthora alphonsiana (del Hoyo and Collar 2016) was previously listed as Paradoxornis alphonsianus.,22716810
8120,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Grey-hooded Parrotbill,Sinosuthora zappeyi,"(Thayer & Bangs, 1912)",R,VU,Paradoxornis zappeyi,"Crested Parrotbill, Dusky Parrotbill",Sinosuthora zappeyi (del Hoyo and Collar 2016) was previously listed as Paradoxornis zappeyi.,22716813
8121,PASSERIFORMES,Sylviidae,Old World warblers and parrotbills,NA,NA,Rusty-throated Parrotbill,Sinosuthora przewalskii,"(Berezowski & Bianchi, 1891)",R,VU,Paradoxornis przewalskii,"Przewalski's Parrotbill, Przevalski's Parrotbill",Sinosuthora przewalskii (del Hoyo and Collar 2016) was previously listed as Paradoxornis przewalskii.,22716818
8122,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,White-collared Yuhina,Yuhina diademata,"Verreaux, 1869",R,LC,NA,NA,NA,22716740
8123,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Chestnut-crested Yuhina,Yuhina everetti,"(Sharpe, 1887)",R,LC,NA,NA,NA,22716725
8124,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Striated Yuhina,Yuhina castaniceps,"(Moore, 1854)",R,LC,NA,NA,NA,22735197
8125,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Indochinese Yuhina,Yuhina torqueola,"(Swinhoe, 1870)",R,LC,NA,NA,NA,22734618
8126,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Black-chinned Yuhina,Yuhina nigrimenta,"Blyth, 1845",R,LC,NA,NA,NA,22716750
8127,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Taiwan Yuhina,Yuhina brunneiceps,"Ogilvie-Grant, 1906",R,LC,NA,Formosan Yuhina,NA,22716746
8128,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Whiskered Yuhina,Yuhina flavicollis,"Hodgson, 1836",R,LC,NA,NA,NA,22716731
8129,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Burmese Yuhina,Yuhina humilis,"(Hume, 1877)",R,LC,NA,NA,NA,22716734
8130,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,White-naped Yuhina,Yuhina bakeri,"Rothschild, 1926",R,LC,NA,NA,NA,22716728
8131,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Rufous-vented Yuhina,Yuhina occipitalis,"Hodgson, 1836",R,LC,NA,NA,NA,22716743
8132,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Stripe-throated Yuhina,Yuhina gularis,"Hodgson, 1836",R,LC,NA,NA,NA,22716737
8133,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Flame-templed Babbler,Dasycrotapha speciosa,"(Tweeddale, 1878)",R,EN,NA,NA,NA,22716210
8134,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Visayan Pygmy Babbler,Dasycrotapha pygmaea,"(Ogilvie-Grant, 1896)",R,NT,Stachyris pygmaea,Visayan Pygmy-babbler,Dasycrotapha pygmaea (del Hoyo and Collar 2016) was previously listed as Stachyris pygmaea.,22734563
8135,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Mindanao Pygmy Babbler,Dasycrotapha plateni,"(Blasius, 1890)",R,NT,Stachyris plateni,Mindanao Pygmy-babbler,Dasycrotapha plateni (del Hoyo and Collar 2016) was previously listed as Stachyris plateni.,22735157
8136,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Rusty-crowned Babbler,Sterrhoptilus capitalis,"(Tweeddale, 1877)",R,LC,Stachyris capitalis,NA,Sterrhoptilus capitalis (del Hoyo and Collar 2016) was previously listed as Stachyris capitalis.,22716207
8137,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Black-crowned Babbler,Sterrhoptilus nigrocapitatus,"(Steere, 1890)",R,LC,Stachyris nigrocapitata,NA,Sterrhoptilus nigrocapitatus (del Hoyo and Collar 2016) was previously listed as Stachyris nigrocapitata.,22716204
8138,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Golden-crowned Babbler,Sterrhoptilus dennistouni,"(Ogilvie-Grant, 1895)",R,NT,Stachyris dennistouni,NA,Sterrhoptilus dennistouni (del Hoyo and Collar 2016) was previously listed as Stachyris dennistouni.,22716201
8139,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Palawan Striped Babbler,Zosterornis hypogrammicus,"(Salomonsen, 1961)",R,NT,Stachyris hypogrammica,"Palawan Striped-Babbler, Palawan Striped-babbler",Zosterornis hypogrammicus (del Hoyo and Collar 2016) was previously listed as Stachyris hypogrammica.,22716243
8140,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Luzon Striped Babbler,Zosterornis striatus,"Ogilvie-Grant, 1894",R,NT,Stachyris striata,"Luzon Striped-Babbler, Luzon Striped-babbler",Zosterornis striatus (del Hoyo and Collar 2016) was previously listed as Stachyris striata.,22716227
8141,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Panay Striped Babbler,Zosterornis latistriatus,"(Gonzales & Kennedy, 1990)",R,NT,Stachyris latistriata,"Panay Striped-Babbler, Panay Striped-babbler",Zosterornis latistriatus (del Hoyo and Collar 2016) was previously listed as Stachyris latistriata.,22716232
8142,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Negros Striped Babbler,Zosterornis nigrorum,"(Rand & Rabor, 1952)",R,EN,Stachyris nigrorum,"Negros Striped-Babbler, Negros Tree-babbler, Negros Striped-babbler",Zosterornis nigrorum (del Hoyo and Collar 2016) was previously listed as Stachyris nigrorum.,22716237
8143,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Chestnut-faced Babbler,Zosterornis whiteheadi,"Ogilvie-Grant, 1894",R,LC,Stachyris whiteheadi,NA,Zosterornis whiteheadi (del Hoyo and Collar 2016) was previously listed as Stachyris whiteheadi.,22716224
8144,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Golden White-eye,Cleptornis marchei,"(Oustalet, 1889)",R,EN,NA,NA,NA,22714282
8145,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Bonin White-eye,Apalopteron familiare,"(Kittlitz, 1831)",R,NT,NA,Bonin Honeyeater,NA,22704125
8146,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Yellow-spectacled White-eye,Heleia wallacei,"(Finsch, 1901)",R,LC,Zosterops wallacei,Yellow-ringed White-eye,Heleia wallacei (del Hoyo and Collar 2016) was previously listed as Zosterops wallacei.,22714115
8147,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Cream-browed White-eye,Heleia superciliaris,"(Hartert, 1897)",R,LC,Lophozosterops superciliaris,"White-browed White-eye, Cream-browed Ibon, Yellow-browed White-eye",Heleia superciliaris (del Hoyo and Collar 2016) was previously listed as Lophozosterops superciliaris.,22714307
8148,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Thick-billed White-eye,Heleia crassirostris,"(Hartert, 1897)",R,LC,NA,Thick-billed Heleia,NA,22714323
8149,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Pygmy White-eye,Heleia squamifrons,"(Sharpe, 1892)",R,LC,Oculocincta squamifrons,Pygmy Ibon,Heleia squamifrons (del Hoyo and Collar 2016) was previously listed as Oculocincta squamifrons.,22714319
8150,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Streak-headed White-eye,Heleia squamiceps,"(Hartert, 1896)",R,LC,Lophozosterops squamiceps,"Streak-headed Ibon, Streaky-headed White-eye",Heleia squamiceps (del Hoyo and Collar 2016) was previously listed as Lophozosterops squamiceps.,22714299
8151,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Mindanao White-eye,Heleia goodfellowi,"(Hartert, 1903)",R,LC,Lophozosterops goodfellowi,"Mindanao Ibon, Black-masked White-eye",Heleia goodfellowi (del Hoyo and Collar 2016) was previously listed as Lophozosterops goodfellowi.,22714303
8152,PASSERIFORMES,Zosteropidae,White-eyes and yuhinas,NA,NA,Javan Grey-throated White-eye,Heleia javanica,"(Horsfield, 1821)",R,LC,Lophozosterops javanicus,Grey-throated Ibon,Heleia javanica (del Hoyo and Collar 2016) was previously listed as Lophozosterops javanicus.,22714295
